entity_name,principal_name,address,discovery_source,source_url,entity_type,aum_range,raw_payload
Zorich Family Foundation,ROBERT L ZORICH,"9651 KATY FWY STE 525, Houston, TX, 77024-1598",ProPublica,https://projects.propublica.org/nonprofits/organizations/760664404,,,"{""entity_name"": ""Zorich Family Foundation"", ""principal_name"": ""ROBERT L ZORICH"", ""address"": ""9651 KATY FWY STE 525, Houston, TX, 77024-1598""}"
Edgerley Family Foundation,PAUL EDGERLEY,"9401 INDIAN CREEK PKWY STE 800, Overland Park, KS, 66210-2128",ProPublica,https://projects.propublica.org/nonprofits/organizations/201867709,,,"{""entity_name"": ""Edgerley Family Foundation"", ""principal_name"": ""PAUL EDGERLEY"", ""address"": ""9401 INDIAN CREEK PKWY STE 800, Overland Park, KS, 66210-2128""}"
Stanley Family Foundation,,"430 CENTRAL DR, Briarcliff, NY, 10510-1102",ProPublica,https://projects.propublica.org/nonprofits/organizations/61157888,,,"{""entity_name"": ""Stanley Family Foundation"", ""principal_name"": null, ""address"": ""430 CENTRAL DR, Briarcliff, NY, 10510-1102""}"
Pathy Family Foundation,PAUL M PATHY,"MONTREAL QUEBEC H3B 4W5, Canada, 00000-0000",ProPublica,https://projects.propublica.org/nonprofits/organizations/981735754,,,"{""entity_name"": ""Pathy Family Foundation"", ""principal_name"": ""PAUL M PATHY"", ""address"": ""MONTREAL QUEBEC H3B 4W5, Canada, 00000-0000""}"
Chestnut Family Foundation,BENJAMIN L CHESTNUT,"1355 PEACHTREE ST NE STE 1450, Atlanta, GA, 30309-4906",ProPublica,https://projects.propublica.org/nonprofits/organizations/814986125,,,"{""entity_name"": ""Chestnut Family Foundation"", ""principal_name"": ""BENJAMIN L CHESTNUT"", ""address"": ""1355 PEACHTREE ST NE STE 1450, Atlanta, GA, 30309-4906""}"
Weill Family Foundation,INDEPENDENT FAMILY OFFICE L,"PO BOX 10879, Albany, NY, 12201-5879",ProPublica,https://projects.propublica.org/nonprofits/organizations/136223609,,,"{""entity_name"": ""Weill Family Foundation"", ""principal_name"": ""INDEPENDENT FAMILY OFFICE L"", ""address"": ""PO BOX 10879, Albany, NY, 12201-5879""}"
Slaggie Family Foundation,,"111 MARKET ST STE 3B, Winona, MN, 55987-5532",ProPublica,https://projects.propublica.org/nonprofits/organizations/411878894,,,"{""entity_name"": ""Slaggie Family Foundation"", ""principal_name"": null, ""address"": ""111 MARKET ST STE 3B, Winona, MN, 55987-5532""}"
Mandarich Family Foundation,BLANTON MCDONALD,"5353 W DARTMOUTH AVE STE 306, Denver, CO, 80227-5517",ProPublica,https://projects.propublica.org/nonprofits/organizations/464325245,,,"{""entity_name"": ""Mandarich Family Foundation"", ""principal_name"": ""BLANTON MCDONALD"", ""address"": ""5353 W DARTMOUTH AVE STE 306, Denver, CO, 80227-5517""}"
Pichai Family Foundation,JONATHAN GREESON,"555 CALIFORNIA STREET 41ST FLOOR, San Francisco, CA, 94104-1714",ProPublica,https://projects.propublica.org/nonprofits/organizations/832405611,,,"{""entity_name"": ""Pichai Family Foundation"", ""principal_name"": ""JONATHAN GREESON"", ""address"": ""555 CALIFORNIA STREET 41ST FLOOR, San Francisco, CA, 94104-1714""}"
Phillips Family Foundation,D MARTIN PHILLIPS,"9651 KATY FWY STE 525, Houston, TX, 77024-1598",ProPublica,https://projects.propublica.org/nonprofits/organizations/750590214,,,"{""entity_name"": ""Phillips Family Foundation"", ""principal_name"": ""D MARTIN PHILLIPS"", ""address"": ""9651 KATY FWY STE 525, Houston, TX, 77024-1598""}"
Friedman Family Foundation,ERNST & YOUNG US LLP,"1 BEEKMAN PL APT 11C, New York, NY, 10022-8069",ProPublica,https://projects.propublica.org/nonprofits/organizations/133025979,,,"{""entity_name"": ""Friedman Family Foundation"", ""principal_name"": ""ERNST & YOUNG US LLP"", ""address"": ""1 BEEKMAN PL APT 11C, New York, NY, 10022-8069""}"
Towle Family Foundation,STREAMLINE FAMILY OFFICE,"4950 S YOSEMITE ST STE F2 PMB 327, Greenwood Vlg, CO, 80111-1350",ProPublica,https://projects.propublica.org/nonprofits/organizations/431800405,,,"{""entity_name"": ""Towle Family Foundation"", ""principal_name"": ""STREAMLINE FAMILY OFFICE"", ""address"": ""4950 S YOSEMITE ST STE F2 PMB 327, Greenwood Vlg, CO, 80111-1350""}"
Marek Family Foundation,,"3701 PINEY WOODS DR, Houston, TX, 77018-5846",ProPublica,https://projects.propublica.org/nonprofits/organizations/746108373,,,"{""entity_name"": ""Marek Family Foundation"", ""principal_name"": null, ""address"": ""3701 PINEY WOODS DR, Houston, TX, 77018-5846""}"
Sundheim Family Foundation,EY US LLP,"C/O SUNNY CAP MGMT 9 W 57TH ST, New York, NY, 10019-0000",ProPublica,https://projects.propublica.org/nonprofits/organizations/831563495,,,"{""entity_name"": ""Sundheim Family Foundation"", ""principal_name"": ""EY US LLP"", ""address"": ""C/O SUNNY CAP MGMT 9 W 57TH ST, New York, NY, 10019-0000""}"
Tsao Family Foundation,STEVEN TSAO,"PO BOX 1115, Corona Dl Mar, CA, 92625-6115",ProPublica,https://projects.propublica.org/nonprofits/organizations/202043022,,,"{""entity_name"": ""Tsao Family Foundation"", ""principal_name"": ""STEVEN TSAO"", ""address"": ""PO BOX 1115, Corona Dl Mar, CA, 92625-6115""}"
Mondre Family Foundation,SHADE TREE ADVISORS LLC,"55 HUDSON YARDS 40TH FLOOR, New York, NY, 10001-2163",ProPublica,https://projects.propublica.org/nonprofits/organizations/833036876,,,"{""entity_name"": ""Mondre Family Foundation"", ""principal_name"": ""SHADE TREE ADVISORS LLC"", ""address"": ""55 HUDSON YARDS 40TH FLOOR, New York, NY, 10001-2163""}"
Beemok Family Foundation,KAREN LARKIN,"200 MEETING STSTE 206, Charleston, SC, 29401-0000",ProPublica,https://projects.propublica.org/nonprofits/organizations/465382571,,,"{""entity_name"": ""Beemok Family Foundation"", ""principal_name"": ""KAREN LARKIN"", ""address"": ""200 MEETING STSTE 206, Charleston, SC, 29401-0000""}"
Kolatch Family Foundation,JONATHAN KOLATCH,"144 WALNUT ST, Englewood, NJ, 07631-3012",ProPublica,https://projects.propublica.org/nonprofits/organizations/133918276,,,"{""entity_name"": ""Kolatch Family Foundation"", ""principal_name"": ""JONATHAN KOLATCH"", ""address"": ""144 WALNUT ST, Englewood, NJ, 07631-3012""}"
Dorrance Family Foundation,BENNETT DORRANCE,"6263 N SCOTTSDALE RD STE 330, Scottsdale, AZ, 85250-5417",ProPublica,https://projects.propublica.org/nonprofits/organizations/860691863,,,"{""entity_name"": ""Dorrance Family Foundation"", ""principal_name"": ""BENNETT DORRANCE"", ""address"": ""6263 N SCOTTSDALE RD STE 330, Scottsdale, AZ, 85250-5417""}"
Halvorsen Family Foundation,OLE ANDREAS HALVORSEN,"VIKING 600 WASHINGTON BLVD 11TH F, Stamford, CT, 06901-0000",ProPublica,https://projects.propublica.org/nonprofits/organizations/61603158,,,"{""entity_name"": ""Halvorsen Family Foundation"", ""principal_name"": ""OLE ANDREAS HALVORSEN"", ""address"": ""VIKING 600 WASHINGTON BLVD 11TH F, Stamford, CT, 06901-0000""}"
Bicket Family Foundation,,"1 EMBARCADERO CTR STE 2410, San Francisco, CA, 94111-3737",ProPublica,https://projects.propublica.org/nonprofits/organizations/921219558,,,"{""entity_name"": ""Bicket Family Foundation"", ""principal_name"": null, ""address"": ""1 EMBARCADERO CTR STE 2410, San Francisco, CA, 94111-3737""}"
Biswas Family Foundation,,"1 EMBARCADERO CTR STE 2410, San Francisco, CA, 94111-3737",ProPublica,https://projects.propublica.org/nonprofits/organizations/921348652,,,"{""entity_name"": ""Biswas Family Foundation"", ""principal_name"": null, ""address"": ""1 EMBARCADERO CTR STE 2410, San Francisco, CA, 94111-3737""}"
DYE FAMILY OFFICE,,"CANFIELD, OH, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/326761,IAPD: ACTIVE,,"{""entity_name"": ""DYE FAMILY OFFICE"", ""address"": ""CANFIELD, OH, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""326761""}"
JFG FAMILY OFFICE,,"1144 FIFTEENTH STREET, SUITE 3950, DENVER, CO, 80202, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/125101,IAPD: ACTIVE,,"{""entity_name"": ""JFG FAMILY OFFICE"", ""address"": ""1144 FIFTEENTH STREET, SUITE 3950, DENVER, CO, 80202, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""125101""}"
WE FAMILY OFFICES,,"2811 PONCE DE LEON BLVD, SUITE 840, CORAL GABLES, FL, 33134, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/109869,IAPD: ACTIVE,,"{""entity_name"": ""WE FAMILY OFFICES"", ""address"": ""2811 PONCE DE LEON BLVD, SUITE 840, CORAL GABLES, FL, 33134, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""109869""}"
LONG FAMILY OFFICE,,"5101 DUNLEA CT, STE 204-C, WILMINGTON, NC, 28405, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/110990,IAPD: ACTIVE,,"{""entity_name"": ""LONG FAMILY OFFICE"", ""address"": ""5101 DUNLEA CT, STE 204-C, WILMINGTON, NC, 28405, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""110990""}"
CARPA FAMILY OFFICE,,"AVENIDA BRIGADEIRO FARIA LIMA, 4300, 3 ANDAR, CJ. 31, SÃO PAULO, 04538-132, Brazil",IAPD,https://adviserinfo.sec.gov/firm/summary/329017,IAPD: INACTIVE,,"{""entity_name"": ""CARPA FAMILY OFFICE"", ""address"": ""AVENIDA BRIGADEIRO FARIA LIMA, 4300, 3 ANDAR, CJ. 31, S\u00c3O PAULO, 04538-132, Brazil"", ""entity_type"": ""IAPD: INACTIVE"", ""crd"": ""329017""}"
CRAIG FAMILY OFFICE,,"SPOKANE, WA, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/323358,IAPD: ACTIVE,,"{""entity_name"": ""CRAIG FAMILY OFFICE"", ""address"": ""SPOKANE, WA, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""323358""}"
BGL FAMILY OFFICE AG,,"AM SCHANZENGRABEN 27, 8002 ZURICH, Switzerland",IAPD,https://adviserinfo.sec.gov/firm/summary/158222,IAPD: INACTIVE,,"{""entity_name"": ""BGL FAMILY OFFICE AG"", ""address"": ""AM SCHANZENGRABEN 27, 8002 ZURICH, Switzerland"", ""entity_type"": ""IAPD: INACTIVE"", ""crd"": ""158222""}"
"BT FAMILY OFFICE, LLC",,"3300 RIVERWOOD PARKWAY, SUITE 700, ATLANTA, GA, 30339, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/305713,IAPD: ACTIVE,,"{""entity_name"": ""BT FAMILY OFFICE, LLC"", ""address"": ""3300 RIVERWOOD PARKWAY, SUITE 700, ATLANTA, GA, 30339, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""305713""}"
VIRTUS FAMILY OFFICE,,"500 WEST OVERLAND, SUITE 250-Q, EL PASO, TX, 79901, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/298272,IAPD: ACTIVE,,"{""entity_name"": ""VIRTUS FAMILY OFFICE"", ""address"": ""500 WEST OVERLAND, SUITE 250-Q, EL PASO, TX, 79901, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""298272""}"
MATTER FAMILY OFFICE,,"8001 FORSYTH BLVD, SUITE 950, ST LOUIS, MO, 63105, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/106806,IAPD: ACTIVE,,"{""entity_name"": ""MATTER FAMILY OFFICE"", ""address"": ""8001 FORSYTH BLVD, SUITE 950, ST LOUIS, MO, 63105, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""106806""}"
"THE FAMILY OFFICE, LLC",,"REDMOND, WA, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/288530,IAPD: INACTIVE,,"{""entity_name"": ""THE FAMILY OFFICE, LLC"", ""address"": ""REDMOND, WA, United States"", ""entity_type"": ""IAPD: INACTIVE"", ""crd"": ""288530""}"
"360 FAMILY OFFICE, LLC",,"BOISE, ID, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/164652,IAPD: INACTIVE,,"{""entity_name"": ""360 FAMILY OFFICE, LLC"", ""address"": ""BOISE, ID, United States"", ""entity_type"": ""IAPD: INACTIVE"", ""crd"": ""164652""}"
"DCA FAMILY OFFICE, LLC",,"3721 DOUGLAS BLVD, SUITE 350, ROSEVILLE, CA, 95661, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/322047,IAPD: ACTIVE,,"{""entity_name"": ""DCA FAMILY OFFICE, LLC"", ""address"": ""3721 DOUGLAS BLVD, SUITE 350, ROSEVILLE, CA, 95661, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""322047""}"
"818 FAMILY OFFICE, LLC",,"3711 S MOPAC EXPY, SUITE 150, AUSTIN, TX, 78746, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/339082,IAPD: ACTIVE,,"{""entity_name"": ""818 FAMILY OFFICE, LLC"", ""address"": ""3711 S MOPAC EXPY, SUITE 150, AUSTIN, TX, 78746, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""339082""}"
"PMG FAMILY OFFICE, LLC",,"5700 WEST PLANO PKWY, SUITE 2600, PLANO, TX, 75093, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/312154,IAPD: ACTIVE,,"{""entity_name"": ""PMG FAMILY OFFICE, LLC"", ""address"": ""5700 WEST PLANO PKWY, SUITE 2600, PLANO, TX, 75093, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""312154""}"
"LMB FAMILY OFFICE, LLC",,"DALLAS, TX, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/341470,IAPD: ACTIVE,,"{""entity_name"": ""LMB FAMILY OFFICE, LLC"", ""address"": ""DALLAS, TX, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""341470""}"
P&L FAMILY WEALTH,,"13300 CROSSROADS PKWY N, 170, CITY OF INDUSTRY, CA, 91746, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/341272,IAPD: ACTIVE,,"{""entity_name"": ""P&L FAMILY WEALTH"", ""address"": ""13300 CROSSROADS PKWY N, 170, CITY OF INDUSTRY, CA, 91746, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""341272""}"
DWM FAMILY WEALTH,,"CASTLE ROCK, CO, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/299949,IAPD: ACTIVE,,"{""entity_name"": ""DWM FAMILY WEALTH"", ""address"": ""CASTLE ROCK, CO, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""299949""}"
GOLD FAMILY WEALTH,,"565 FIFTH AVENUE, 27TH FLOOR, NEW YORK, NY, 10017, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/290140,IAPD: INACTIVE,,"{""entity_name"": ""GOLD FAMILY WEALTH"", ""address"": ""565 FIFTH AVENUE, 27TH FLOOR, NEW YORK, NY, 10017, United States"", ""entity_type"": ""IAPD: INACTIVE"", ""crd"": ""290140""}"
EPOCH FAMILY WEALTH,,"WELDON SPRING, MO, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/286107,IAPD: ACTIVE,,"{""entity_name"": ""EPOCH FAMILY WEALTH"", ""address"": ""WELDON SPRING, MO, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""286107""}"
FIRST FAMILY WEALTH,,"1500 MEDICAL CENTER PARKWAY, SUITE 3, MURFREESBORO, TN, 37129, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/338250,IAPD: ACTIVE,,"{""entity_name"": ""FIRST FAMILY WEALTH"", ""address"": ""1500 MEDICAL CENTER PARKWAY, SUITE 3, MURFREESBORO, TN, 37129, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""338250""}"
RENEW FAMILY WEALTH,,"1 S. COASTAL WAY, UNIT 104, JUPITER, FL, 33477, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/298618,IAPD: ACTIVE,,"{""entity_name"": ""RENEW FAMILY WEALTH"", ""address"": ""1 S. COASTAL WAY, UNIT 104, JUPITER, FL, 33477, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""298618""}"
NOBLE FAMILY WEALTH,,"2475 ENTERPRISE RD., CLEARWATER, FL, 33763, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/315152,IAPD: ACTIVE,,"{""entity_name"": ""NOBLE FAMILY WEALTH"", ""address"": ""2475 ENTERPRISE RD., CLEARWATER, FL, 33763, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""315152""}"
FAMILYVEST,,"4300 LEGENDARY DRIVE, SUITE 226, DESTIN, FL, 32541, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/284687,IAPD: INACTIVE,,"{""entity_name"": ""FAMILYVEST"", ""address"": ""4300 LEGENDARY DRIVE, SUITE 226, DESTIN, FL, 32541, United States"", ""entity_type"": ""IAPD: INACTIVE"", ""crd"": ""284687""}"
KNIGHT FAMILY WEALTH,,"NAPLES, FL, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/309475,IAPD: ACTIVE,,"{""entity_name"": ""KNIGHT FAMILY WEALTH"", ""address"": ""NAPLES, FL, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""309475""}"
"QTR FAMILY WEALTH, LLC",,"605 CRESCENT EXECUTIVE COURT, SUITE 104, LAKE MARY, FL, 32746, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/331655,IAPD: ACTIVE,,"{""entity_name"": ""QTR FAMILY WEALTH, LLC"", ""address"": ""605 CRESCENT EXECUTIVE COURT, SUITE 104, LAKE MARY, FL, 32746, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""331655""}"
"FAMILY WMS, LLC",,"490 N. MILLEDGE AVE, ATHENS, GA, 30601, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/126456,IAPD: ACTIVE,,"{""entity_name"": ""FAMILY WMS, LLC"", ""address"": ""490 N. MILLEDGE AVE, ATHENS, GA, 30601, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""126456""}"
MERISTEM FAMILY WEALTH,,"701 CARLSON PARKWAY, SUITE 1400, MINNETONKA, MN, 55305, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/109141,IAPD: INACTIVE,,"{""entity_name"": ""MERISTEM FAMILY WEALTH"", ""address"": ""701 CARLSON PARKWAY, SUITE 1400, MINNETONKA, MN, 55305, United States"", ""entity_type"": ""IAPD: INACTIVE"", ""crd"": ""109141""}"
FAMILY WEALTH PARTNERS,,"2518-B PLANTATION CENTER DRIVE, MATTHEWS, NC, 28105, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/121030,IAPD: INACTIVE,,"{""entity_name"": ""FAMILY WEALTH PARTNERS"", ""address"": ""2518-B PLANTATION CENTER DRIVE, MATTHEWS, NC, 28105, United States"", ""entity_type"": ""IAPD: INACTIVE"", ""crd"": ""121030""}"
TRUEVINE FAMILY WEALTH,,"ESTERO, FL, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/331649,IAPD: ACTIVE,,"{""entity_name"": ""TRUEVINE FAMILY WEALTH"", ""address"": ""ESTERO, FL, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""331649""}"
FAMILY WEALTH ADVISORS,,"670 WEST SHEPARD LANE, SUITE 101, FARMINGTON, UT, 84025, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/117475,IAPD: ACTIVE,,"{""entity_name"": ""FAMILY WEALTH ADVISORS"", ""address"": ""670 WEST SHEPARD LANE, SUITE 101, FARMINGTON, UT, 84025, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""117475""}"
"BRADY FAMILY WEALTH, LLC",,"1401 SOUTH BRENTWOOD BLVD., SUITE 880, SAINT LOUIS, MO, 63144, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/315635,IAPD: ACTIVE,,"{""entity_name"": ""BRADY FAMILY WEALTH, LLC"", ""address"": ""1401 SOUTH BRENTWOOD BLVD., SUITE 880, SAINT LOUIS, MO, 63144, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""315635""}"
"TEXAS FAMILY WEALTH, LLC",,"161 W SHADOWBEND AVENUE, SUITE 101, FRIENDSWOOD, TX, 77546, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/327332,IAPD: ACTIVE,,"{""entity_name"": ""TEXAS FAMILY WEALTH, LLC"", ""address"": ""161 W SHADOWBEND AVENUE, SUITE 101, FRIENDSWOOD, TX, 77546, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""327332""}"
"OMNIA FAMILY WEALTH, LLC",,"18851 NE 29TH AVENUE, SUITE 400, AVENTURA, FL, 33180, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/170909,IAPD: ACTIVE,,"{""entity_name"": ""OMNIA FAMILY WEALTH, LLC"", ""address"": ""18851 NE 29TH AVENUE, SUITE 400, AVENTURA, FL, 33180, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""170909""}"
FAMILY WEALTH SOLUTIONS,,"WILMINGTON, DE, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/328105,IAPD: INACTIVE,,"{""entity_name"": ""FAMILY WEALTH SOLUTIONS"", ""address"": ""WILMINGTON, DE, United States"", ""entity_type"": ""IAPD: INACTIVE"", ""crd"": ""328105""}"
BOULEVARD FAMILY WEALTH,,"9465 WILSHIRE BLVD., SUITE 840, BEVERLY HILLS, CA, 90212, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/285229,IAPD: INACTIVE,,"{""entity_name"": ""BOULEVARD FAMILY WEALTH"", ""address"": ""9465 WILSHIRE BLVD., SUITE 840, BEVERLY HILLS, CA, 90212, United States"", ""entity_type"": ""IAPD: INACTIVE"", ""crd"": ""285229""}"
FAMILY INVESTMENT CENTER,,"3805 BECK ROAD, SAINT JOSEPH, MO, 64506, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/113799,IAPD: ACTIVE,,"{""entity_name"": ""FAMILY INVESTMENT CENTER"", ""address"": ""3805 BECK ROAD, SAINT JOSEPH, MO, 64506, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""113799""}"
"FAMILY LEGACY, INC.",,"900 PENDLETON STREET, SUITE 200, GREENVILLE, SC, 29601, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/110945,IAPD: ACTIVE,,"{""entity_name"": ""FAMILY LEGACY, INC."", ""address"": ""900 PENDLETON STREET, SUITE 200, GREENVILLE, SC, 29601, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""110945""}"
WALDORF FAMILY INVESTMENTS,,"405 EL CAMINO REAL, SUITE 260, MENLO PARK, CA, 94025, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/168029,IAPD: INACTIVE,,"{""entity_name"": ""WALDORF FAMILY INVESTMENTS"", ""address"": ""405 EL CAMINO REAL, SUITE 260, MENLO PARK, CA, 94025, United States"", ""entity_type"": ""IAPD: INACTIVE"", ""crd"": ""168029""}"
"FAMILY WEALTH INVESTMENTS, LLC",,"269 OAK STREET, HIGHLANDS, NC, 28741, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/284731,IAPD: INACTIVE,,"{""entity_name"": ""FAMILY WEALTH INVESTMENTS, LLC"", ""address"": ""269 OAK STREET, HIGHLANDS, NC, 28741, United States"", ""entity_type"": ""IAPD: INACTIVE"", ""crd"": ""284731""}"
"GDMN FAMILY INVESTMENTS GP, LLC",,"600 N. LOOP 1604E, SAN ANTONIO, TX, 78232, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/285246,IAPD: INACTIVE,,"{""entity_name"": ""GDMN FAMILY INVESTMENTS GP, LLC"", ""address"": ""600 N. LOOP 1604E, SAN ANTONIO, TX, 78232, United States"", ""entity_type"": ""IAPD: INACTIVE"", ""crd"": ""285246""}"
KELLER FAMILY LAW & INVESTMENTS,,"12030 WALBROOK DRIVE, SARATOGA, CA, 95070, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/320868,IAPD: INACTIVE,,"{""entity_name"": ""KELLER FAMILY LAW & INVESTMENTS"", ""address"": ""12030 WALBROOK DRIVE, SARATOGA, CA, 95070, United States"", ""entity_type"": ""IAPD: INACTIVE"", ""crd"": ""320868""}"
LONGWALL FAMILY OFFICE,,"8  WRIGHT ST, SUITE 107, WESTPORT, CT, 06880, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/324336,IAPD: ACTIVE,,"{""entity_name"": ""LONGWALL FAMILY OFFICE"", ""address"": ""8  WRIGHT ST, SUITE 107, WESTPORT, CT, 06880, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""324336""}"
"FAMILY INVESTMENT PLANNING, LLC",,"925 ELM GROVE ROAD, SUITE 203, ELM GROVE, WI, 53122, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/156132,IAPD: ACTIVE,,"{""entity_name"": ""FAMILY INVESTMENT PLANNING, LLC"", ""address"": ""925 ELM GROVE ROAD, SUITE 203, ELM GROVE, WI, 53122, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""156132""}"
"FAMILY INVESTMENT ADVISORY, LLC",,"MERRIMACK, NH, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/160189,IAPD: ACTIVE,,"{""entity_name"": ""FAMILY INVESTMENT ADVISORY, LLC"", ""address"": ""MERRIMACK, NH, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""160189""}"
"OAK FAMILY ADVISORS, LLC",,"150 NORTH WACKER DRIVE, SUITE 1760, CHICAGO, IL, 60606-1607, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/141332,IAPD: ACTIVE,,"{""entity_name"": ""OAK FAMILY ADVISORS, LLC"", ""address"": ""150 NORTH WACKER DRIVE, SUITE 1760, CHICAGO, IL, 60606-1607, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""141332""}"
FAMILY INVESTMENT MANAGEMENT L.P.,,"CARLSBAD, CA, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/170281,IAPD: ACTIVE,,"{""entity_name"": ""FAMILY INVESTMENT MANAGEMENT L.P."", ""address"": ""CARLSBAD, CA, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""170281""}"
STOKES FAMILY OFFICE LLC,,"1100 POYDRAS ST, STE. 2775, NEW ORLEANS, LA, 70163, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/300899,IAPD: ACTIVE,,"{""entity_name"": ""STOKES FAMILY OFFICE LLC"", ""address"": ""1100 POYDRAS ST, STE. 2775, NEW ORLEANS, LA, 70163, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""300899""}"
AM GLOBAL FAMILY INVESTMENT OFFICE,,"319 CLEMATIS STREET, SUITE 300, WEST PALM BEACH, FL, 33401, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/159319,IAPD: INACTIVE,,"{""entity_name"": ""AM GLOBAL FAMILY INVESTMENT OFFICE"", ""address"": ""319 CLEMATIS STREET, SUITE 300, WEST PALM BEACH, FL, 33401, United States"", ""entity_type"": ""IAPD: INACTIVE"", ""crd"": ""159319""}"
"CROSSGRAIN FAMILY INVESTMENTS, LLC",,"HENRICO, VA, United States",IAPD,https://adviserinfo.sec.gov/firm/summary/318373,IAPD: ACTIVE,,"{""entity_name"": ""CROSSGRAIN FAMILY INVESTMENTS, LLC"", ""address"": ""HENRICO, VA, United States"", ""entity_type"": ""IAPD: ACTIVE"", ""crd"": ""318373""}"
